;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;Оповещение о закрытии трактов (каналов);Оповещение о закрытии трактов (каналов);;;;
;;;в результате проведения плановых и неплановых РНР;в результате проведения плановых и неплановых РНР;;;;
;;;"на СМП ОАО ""Ростелеком""";"на СМП ОАО ""Ростелеком""";;;;
;;;;;;;;
Клиент;Дата, время;Условие проведения работ;№ работы;Существующая нумерация трактов;Участок измерений;Содержание работ;Направление связи, ПЦТ, канала, межд.обозн.;Вид использования
1;2;3;4;5;6;7;8;9
"CHINA TELECOM;ТЕА; ГРУЗИЯ; КИТАЙ";Вт 26.08.2014 c 06:00 до 06:30;4-6;08/1400927;К708-63-42;12001 - 12008;- ' ' -;"ШЕНЬДЖЕНЬ - ТБИЛИСИ; NP2             [870830]";МН,ТЕА
"CHINA TELECOM;СГМД; ГОНКОНГ";Вт 26.08.2014 c 06:00 до 06:30;4-6 КР;08/1400927;К708-63-42;12001 - 12008;- ' ' -;"Москва, Бутлерова,7, МСС-11 - ГОНКОНГ; NP1             [1028461]";МЗАРУБКОМП
"CHINA TELECOM;СГМД; ГОНКОНГ";Вт 26.08.2014 c 06:00 до 06:30;4-6;08/1400927;К708-63-42;12001 - 12008;- ' ' -;"Москва, Бутлерова,7, МСС-11 - ГОНКОНГ; NP1             [1028461]";МЗАРУБКОМП
"CHINA TELECOM; КИТАЙ";Вт 26.08.2014 c 06:00 до 06:30;4-6 КР;08/1400927;К708-63-42;12001 - 12008;- ' ' -;"Москва, Бутлерова,7, МСС-11 - ШАНХАЙ; 30N4           ; B [1285334]";ТФС,ИНО
"CHINA TELECOM; КИТАЙ";Вт 26.08.2014 c 06:00 до 06:30;4-6;08/1400927;К708-63-42;12001 - 12008;- ' ' -;"Москва, Бутлерова,7, МСС-11 - ШАНХАЙ; 30N4           ; B [1285334]";ТФС,ИНО
"CHINA TELECOM; КИТАЙ";Вт 26.08.2014 c 06:00 до 06:30;4-6 КР;08/1400927;К708-63-42;12001 - 12008;- ' ' -;"Москва - ГУАНЧЖОУ; 30N4           ; B [1285351]";ТФС,ИНО
"CHINA TELECOM; КИТАЙ";Вт 26.08.2014 c 06:00 до 06:30;4-6;08/1400927;К708-63-42;12001 - 12008;- ' ' -;"Москва - ГУАНЧЖОУ; 30N4           ; B [1285351]";ТФС,ИНО
"CHINA TELECOM; КИТАЙ";Вт 26.08.2014 c 06:00 до 06:30;4-6 КР;08/1400927;К708-63-42;12001 - 12008;- ' ' -;"Москва - ГУАНЧЖОУ; 30N5           ; B [1285352]";ТФС,ИНО
"CHINA TELECOM; КИТАЙ";Вт 26.08.2014 c 06:00 до 06:30;4-6;08/1400927;К708-63-42;12001 - 12008;- ' ' -;"Москва - ГУАНЧЖОУ; 30N5           ; B [1285352]";ТФС,ИНО
"CHINA TELECOM;ТЕА; ШВЕЦИЯ; КИТАЙ";Ср 27.08.2014 c 00:00 до 08:00;4-6 КРП;00/1400941;OCN879;03616 - 5103;Внеплановые работы на сети Elisa с закрытием связей с 1 часа до 7 часов в указанный интервал времени.  При этом связи ТЕА- по резерву с КРП в процессе работ.;"СТОКГОЛЬМ - ПЕКИН; 4V4C3           [862167]";МН,ТЕА
"CHINA TELECOM;ТЕА; ШВЕЦИЯ; КИТАЙ";Ср 27.08.2014 c 00:00 до 08:00;4-6 КРП;00/1400941;OCN879;03616 - 5103;- ' ' -;"СТОКГОЛЬМ - ПЕКИН; VC4S6           [862168]";МН,ТЕА
"CHINA TELECOM;ТЕА; ШВЕЦИЯ; КИТАЙ";Ср 27.08.2014 c 00:00 до 08:00;4-6 КРП;00/1400941;OCN879;03616 - 5103;- ' ' -;"СТОКГОЛЬМ - ПЕКИН; VC4S7           [862169]";МН,ТЕА
"CHINA TELECOM;ТЕА; ШВЕЦИЯ; КИТАЙ";Ср 27.08.2014 c 00:00 до 08:00;4-6 КРП;00/1400941;OCN879;03616 - 5103;- ' ' -;"СТОКГОЛЬМ - ПЕКИН; VC4S12          [862170]";МН,ТЕА
"CHINA TELECOM;ТЕА; ШВЕЦИЯ; КИТАЙ";Ср 27.08.2014 c 00:00 до 08:00;4-6 КРП;00/1400941;OCN879;03616 - 5103;- ' ' -;"СТОКГОЛЬМ - ПЕКИН; VC4S9           [862171]";МН,ТЕА
"CHINA TELECOM;ТЕА; ШВЕЦИЯ; КИТАЙ";Ср 27.08.2014 c 00:00 до 08:00;4-6 КРП;00/1400941;OCN879;03616 - 5103;- ' ' -;"СТОКГОЛЬМ - ПЕКИН; VC4S1           [862172]";МН,ТЕА
"CHINA TELECOM;ТЕА; ШВЕЦИЯ; КИТАЙ";Ср 27.08.2014 c 00:00 до 08:00;4-6 КРП;00/1400941;OCN879;03616 - 5103;- ' ' -;"СТОКГОЛЬМ - ПЕКИН; VC4S3           [862173]";МН,ТЕА
"CHINA TELECOM;ТЕА; ШВЕЦИЯ; КИТАЙ";Ср 27.08.2014 c 00:00 до 08:00;4-6 КРП;00/1400941;OCN879;03616 - 5103;- ' ' -;"СТОКГОЛЬМ - ПЕКИН; VC4S2           [862174]";МН,ТЕА
